,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-03-26T00:00:00.000,Unspecified BRONX,Street Condition,2009-03-26T00:00:00.000,,,Pothole,,N/A,,,PARKSIDE PLACE,WEBSTER AVENUE,,BRONX,Unspecified,2009-03-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13451019
1,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-01-05T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-04T00:00:00.000,CONDUIT BOULEVARD,LINDEN BOULEVARD,Pothole,,N/A, SOUTH CONDUIT AVENUE,,,,,QUEENS,Unspecified,2009-01-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SOUTH CONDUIT AVENUE,12864702
2,BLOCKFACE,DOT,Department of Transportation,Unspecified,BRONX,2009-01-05T00:00:00.000,0 Unspecified,Street Condition,2009-01-05T00:00:00.000,MILES AVENUE,WISSMAN AVENUE,Pothole,,N/A, WASHINGTON AVENUE,,,,,Unspecified,Unspecified,2009-01-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WASHINGTON AVENUE,12864713
3,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-01-09T00:00:00.000,Unspecified BRONX,Street Condition,2009-01-09T00:00:00.000,,,Pothole,,N/A,,,MANH COLLEGE PARKWAY,POST ROAD,,BRONX,Unspecified,2009-01-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12908105
4,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-01-14T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-10T00:00:00.000,,,Pothole,,N/A,,,ASTORIA BOULEVARD,STEINWAY STREET,,QUEENS,Unspecified,2009-01-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12896814
5,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-01-13T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-01-08T00:00:00.000,,,Pothole,,N/A,,,CLOVE ROAD,NARROWS ROAD NORTH,,STATEN ISLAND,Unspecified,2009-01-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12879993
6,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-01-18T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-01-09T00:00:00.000,,,Pothole,,N/A,,,HICKS STREET,WARREN STREET,,BROOKLYN,Unspecified,2009-01-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12896780
7,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-01-08T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-07T00:00:00.000,,,Pothole,,N/A,,,232 STREET,DEAD END,,QUEENS,Unspecified,2009-01-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12890118
8,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-01-23T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-16T00:00:00.000,,,Pothole,,N/A,,,146 STREET,REEVES AVENUE,,QUEENS,Unspecified,2009-01-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12950230
9,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-02-03T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-24T00:00:00.000,,,Pothole,,N/A,,,WHITESTONE EXPRESSWAY,14 AVENUE,,QUEENS,Unspecified,2009-02-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13014448
10,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-01-23T00:00:00.000,Unspecified BRONX,Street Condition,2009-01-23T00:00:00.000,,,Pothole,,N/A,,,RIVERDALE AVENUE,WEST 239 STREET,,BRONX,Unspecified,2009-01-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13027078
11,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-01-27T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-01-26T00:00:00.000,,,Pothole,,N/A,,,EAST 84 STREET,FOSTER AVENUE,,BROOKLYN,Unspecified,2009-01-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13035799
12,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-01-30T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-01-29T00:00:00.000,,,Pothole,,N/A,,,BEMENT AVENUE,HARVEST AVENUE,,STATEN ISLAND,Unspecified,2009-01-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13061233
13,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-02-02T00:00:00.000,Unspecified QUEENS,Street Condition,2009-01-31T00:00:00.000,,,Pothole,,N/A,,,ALAMEDA AVENUE,DOUGLASTON PARKWAY,,QUEENS,Unspecified,2009-02-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13069179
14,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-02-13T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-02-09T00:00:00.000,,,Pothole,,N/A,,,6 AVENUE,GRAND STREET,,MANHATTAN,Unspecified,2009-02-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13133175
15,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2009-02-09T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-02-08T00:00:00.000,CARLTON AVENUE,CLERMONT AVENUE,Pothole,,N/A, ATLANTIC AVENUE,,,,,BROOKLYN,Unspecified,2009-02-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ATLANTIC AVENUE,13143807
16,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-02-09T00:00:00.000,Unspecified QUEENS,Street Condition,2009-02-08T00:00:00.000,VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,Pothole,,N/A, LIBERTY AVENUE,,,,,QUEENS,Unspecified,2009-02-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LIBERTY AVENUE,13143850
17,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-02-11T00:00:00.000,Unspecified QUEENS,Street Condition,2009-02-10T00:00:00.000,,,Pothole,,N/A,,,54 PLACE,NURGE AVENUE,,QUEENS,Unspecified,2009-02-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13148467
18,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-02-25T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-02-13T00:00:00.000,,,Pothole,,N/A,,,DRAPER PLACE,TRAVIS AVENUE,,STATEN ISLAND,Unspecified,2009-02-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13171581
19,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-02-18T00:00:00.000,Unspecified BRONX,Street Condition,2009-02-18T00:00:00.000,,,Pothole,,N/A,,,PELHAM PARKWAY,WALLACE AVENUE,,BRONX,Unspecified,2009-02-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13202940
20,ADDRESS,DOT,Department of Transportation,QUEENS,,2009-02-23T00:00:00.000,Unspecified QUEENS,Street Condition,2009-02-22T00:00:00.000,MASPETH AVENUE,BEND,Pothole,,N/A,57-48 49 PLACE,,,,,QUEENS,Unspecified,2009-02-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,49 PLACE,13236088
21,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-02-23T00:00:00.000,Unspecified QUEENS,Street Condition,2009-02-22T00:00:00.000,,,Pothole,,N/A,,,39 AVENUE,FRANCIS LEWIS BOULEVARD,,QUEENS,Unspecified,2009-02-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13238085
22,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-02-26T00:00:00.000,Unspecified QUEENS,Street Condition,2009-02-23T00:00:00.000,,,Pothole,,N/A,,,ELIOT AVENUE,WOODHAVEN BOULEVARD,,QUEENS,Unspecified,2009-02-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13237990
23,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-03-12T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-11T00:00:00.000,,,Pothole,,N/A,,,MAIN STREET,QUEENS BOULEVARD,,QUEENS,Unspecified,2009-03-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13358621
24,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-02-24T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-02-23T00:00:00.000,,,Pothole,,N/A,,,ST NICHOLAS AVENUE,WEST 162 STREET,,MANHATTAN,Unspecified,2009-02-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13245995
25,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-03-03T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-03-02T00:00:00.000,,,Pothole,,N/A,,,7 AVENUE,82 STREET,,BROOKLYN,Unspecified,2009-03-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13294573
26,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-03-04T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-03T00:00:00.000,QUEENS PLAZA,QUEENS PLAZA,Pothole,,N/A, 27 STREET,,,,,QUEENS,Unspecified,2009-03-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,27 STREET,13303356
27,BLOCKFACE,DOT,Department of Transportation,Unspecified,STATEN ISLAND,2009-03-17T00:00:00.000,0 Unspecified,Street Condition,2009-03-17T00:00:00.000,ALTER AVENUE,DELAWARE AVENUE,Pothole,,N/A, PLATTSBURG STREET,,,,,Unspecified,Unspecified,2009-03-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PLATTSBURG STREET,13382840
28,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-03-18T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-17T00:00:00.000,,,Pothole,,N/A,,,58 AVENUE,82 STREET,,QUEENS,Unspecified,2009-03-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13398470
29,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-03-26T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-03-21T00:00:00.000,,,Pothole,,N/A,,,FULTON STREET,WATER STREET,,MANHATTAN,Unspecified,2009-03-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13410394
30,,DOT,Department of Transportation,BRONX,,2009-04-02T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-01T00:00:00.000,,,"Rough, Pitted or Cracked Roads",2009-06-30T00:00:00.000,N/A,,,GUN HILL ROAD,WHITE PLAINS RD,Street,BRONX,Unspecified,2009-04-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13476397
31,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-03-30T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-03-29T00:00:00.000,,,Pothole,,N/A,,,BOWERY,BROOME STREET,,MANHATTAN,Unspecified,2009-03-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13475200
32,,DOT,Department of Transportation,BRONX,,,Unspecified BRONX,Street Condition,2009-04-01T00:00:00.000,,,Pothole,,N/A,225 ,,,,,BRONX,Unspecified,2009-04-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13499021
33,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,Unspecified MANHATTAN,Street Condition,2009-03-31T00:00:00.000,,,Pothole,,N/A,,,EAST 9 STREET,STUYVESANT STREET,,MANHATTAN,Unspecified,2009-04-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13501233
34,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-07T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-06T00:00:00.000,,,Pothole,,N/A,,,88 AVENUE,WINCHESTER BOULEVARD,,QUEENS,Unspecified,2009-04-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13520622
35,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-13T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-13T00:00:00.000,,,Pothole,,N/A,,,BEACH 9 STREET,LANETT AVENUE,,QUEENS,Unspecified,2009-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13564823
36,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-17T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-15T00:00:00.000,,,Pothole,,N/A,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,QUEENS,Unspecified,2009-04-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13571842
37,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-12-01T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-11-30T00:00:00.000,,,Pothole,,N/A,,,SCHENCK STREET,FULTON STREET,,BROOKLYN,Unspecified,2009-12-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15408440
38,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-20T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-19T00:00:00.000,,,Pothole,,N/A,,,CONNER STREET,NEW ENGLAND THRWY,,BRONX,Unspecified,2009-04-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13751836
39,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-04-24T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-22T00:00:00.000,BLEECKER STREET,SENECA AVENUE,Pothole,,N/A, BLEECKER STREET,,,,,QUEENS,Unspecified,2009-04-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BLEECKER STREET,13770733
40,,DOT,Department of Transportation,QUEENS,,2009-05-07T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-26T00:00:00.000,,,Defective Hardware,2009-05-02T00:00:00.000,N/A,,,170 STREET,75 ST,Street,QUEENS,Unspecified,2009-05-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13794955
41,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-05-16T00:00:00.000,Unspecified QUEENS,Street Condition,2009-05-07T00:00:00.000,,,Pothole,,N/A,,,JAMAICA AVENUE,BRADDOCK AVENUE,,QUEENS,Unspecified,2009-05-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13916801
42,,DOT,Department of Transportation,MANHATTAN,,2009-06-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-05-08T00:00:00.000,,,Defective Hardware,2009-05-20T00:00:00.000,N/A,,,FDR,WHITE STREET,Street,MANHATTAN,Unspecified,2009-06-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13912655
43,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-05-29T00:00:00.000,Unspecified QUEENS,Street Condition,2009-05-21T00:00:00.000,,,Pothole,,N/A,,,82 AVENUE,KEW GARDENS ROAD,,QUEENS,Unspecified,2009-05-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14006758
44,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-07-29T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-07-02T00:00:00.000,,,Pothole,,N/A,,,BRIGHTON 3 STREET,NEPTUNE AVENUE,,BROOKLYN,Unspecified,2009-07-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14316346
45,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-05-21T00:00:00.000,Unspecified QUEENS,Street Condition,2009-05-20T00:00:00.000,,,Pothole,,N/A,,,BOROUGH BOUNDARY,MERRICK BOULEVARD,,QUEENS,Unspecified,2009-05-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14015700
46,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-06-18T00:00:00.000,Unspecified BRONX,Street Condition,2009-06-05T00:00:00.000,,,Pothole,,N/A,,,HUNTS POINT AVE,BRUCKNER BLVD,,BRONX,Unspecified,2009-06-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14121929
47,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-06-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-06-11T00:00:00.000,,,Pothole,,N/A,,,3 AVENUE,20 STREET,,BROOKLYN,Unspecified,2009-06-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14183521
48,,DOT,Department of Transportation,BROOKLYN,,2009-07-17T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-07-16T00:00:00.000,AVENUE J,FLATLANDS AVENUE,Failed Street Repair,2009-07-26T00:00:00.000,N/A, 107 STREET,,,,Street,BROOKLYN,Unspecified,2009-07-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,107 STREET,14400860
49,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-07-28T00:00:00.000,Unspecified BRONX,Street Condition,2009-07-16T00:00:00.000,,,Pothole,,N/A,,,WEBSTER AVE,CROSS BRONX EXPWY,,BRONX,Unspecified,2009-07-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14402924
50,,DOT,Department of Transportation,BROOKLYN,,2010-01-22T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-07-20T00:00:00.000,MC DONALD AVE,OCEAN PARKWAY,Line/Marking - After Repaving,2009-12-24T00:00:00.000,N/A, CATON AVE,,,,Street,BROOKLYN,Unspecified,2010-01-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,CATON AVE,14427654
51,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-07-21T00:00:00.000,Unspecified QUEENS,Street Condition,2009-07-20T00:00:00.000,,,Pothole,,N/A,,,MERRICK BLVD,109 AVE,,QUEENS,Unspecified,2009-07-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14444670
52,BLOCKFACE,DOT,Department of Transportation,BRONX,,2009-07-21T00:00:00.000,Unspecified BRONX,Street Condition,2009-07-20T00:00:00.000,MORRIS AVENUE,SELWYN AVENUE,Pothole,,N/A, EAST MT EDEN AVENUE,,,,,BRONX,Unspecified,2009-07-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST MT EDEN AVENUE,14436479
53,INTERSECTION,DOT,Department of Transportation,QUEENS,,,Unspecified QUEENS,Street Condition,2009-07-29T00:00:00.000,,,Wear & Tear,,N/A,,,146 STREET,REEVES AVENUE,,QUEENS,Unspecified,2009-07-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,14502878
54,BLOCKFACE,DOT,Department of Transportation,BRONX,,2009-08-04T00:00:00.000,Unspecified BRONX,Street Condition,2009-08-04T00:00:00.000,WHITE PLAINS ROAD,WHITE PLAINS ROAD,Pothole,,N/A, EAST GUN HILL ROAD,,,,,BRONX,Unspecified,2009-08-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST GUN HILL ROAD,14546356
55,,DOT,Department of Transportation,BROOKLYN,,2009-08-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-08-17T00:00:00.000,16 AVE,17 AVE,Failed Street Repair,2009-08-27T00:00:00.000,N/A, 73 ST,,,,Street,BROOKLYN,Unspecified,2009-08-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,73 ST,14659582
56,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-09-17T00:00:00.000,Unspecified QUEENS,Street Condition,2009-09-16T00:00:00.000,,,Pothole,,N/A,,,8 AVENUE,WHITESTONE EXPRESSWAY,,QUEENS,Unspecified,2009-09-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,14890347
57,BLOCKFACE,DOT,Department of Transportation,Unspecified,NEW YORK,2009-09-10T00:00:00.000,0 Unspecified,Street Condition,2009-09-09T00:00:00.000,HANOVER SQUARE,OLD SLIP,Pothole,,N/A, WATER STREET,,,,,Unspecified,Unspecified,2009-09-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WATER STREET,14834545
58,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-10-14T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-10-04T00:00:00.000,,,Pothole,,N/A,,,5 AVENUE,85 ST TRANSVERSE,,MANHATTAN,Unspecified,2009-10-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15001327
59,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-11-02T00:00:00.000,Unspecified QUEENS,Street Condition,2009-10-30T00:00:00.000,,,Pothole,,N/A,,,QUEENS BLVD,70 RD,,QUEENS,Unspecified,2009-11-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15192002
60,,DOT,Department of Transportation,BRONX,,2009-10-26T00:00:00.000,Unspecified BRONX,Street Condition,2009-10-25T00:00:00.000,,,Defective Hardware,2009-11-04T00:00:00.000,N/A,,,WEBSTER AVE,CLAY AVE,Street,BRONX,Unspecified,2009-10-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15148346
61,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2009-11-05T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-11-01T00:00:00.000,,,Pothole,,N/A,,,BUFFALO AVENUE,EAST NEW YORK AVENUE,,BROOKLYN,Unspecified,2009-11-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15224259
62,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-12-10T00:00:00.000,Unspecified QUEENS,Street Condition,2009-12-09T00:00:00.000,,,Pothole,,N/A,,,QUEENS PLAZA,JACKSON AVENUE,,QUEENS,Unspecified,2009-12-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,15505448
63,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-11-23T00:00:00.000,Unspecified QUEENS,Street Condition,2009-11-23T00:00:00.000,AUSTIN STREET,QUEENS BOULEVARD,Pothole,,N/A, 71 AVENUE,,,,,QUEENS,Unspecified,2009-11-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,71 AVENUE,15359129
64,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-11-27T00:00:00.000,Unspecified QUEENS,Street Condition,2009-11-26T00:00:00.000,GRAND CENTRL PARKWAY,GRAND CENTRL PARKWAY,Pothole,,N/A, COMMONWEALTH BOULEVARD,,,,,QUEENS,Unspecified,2009-11-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,COMMONWEALTH BOULEVARD,15381627
